#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   8300      3.00e+00    2.76e+00      1.10e-01    1.11e-01      9.72e-02    8.96e-02    9.5e-04
   8400      1.70e+00    1.91e+00      3.33e-02    3.39e-02      5.51e-02    6.21e-02    9.5e-04
   8500      1.83e+00    2.30e+00      5.49e-02    5.51e-02      5.93e-02    7.45e-02    9.5e-04
   8600      1.64e+00    2.89e+00      2.64e-02    2.50e-02      5.32e-02    9.38e-02    9.5e-04
   8700      2.45e+00    2.53e+00      1.63e-01    1.62e-01      7.94e-02    8.21e-02    9.5e-04
   8800      2.85e+00    1.99e+00      5.91e-02    6.00e-02      9.24e-02    6.44e-02    9.5e-04
   8900      1.63e+00    2.08e+00      1.26e-01    1.27e-01      5.29e-02    6.75e-02    9.5e-04
   9000      1.68e+00    1.61e+00      7.99e-02    7.96e-02      5.46e-02    5.21e-02    9.5e-04
   9100      2.83e+00    3.56e+00      7.51e-02    7.37e-02      9.19e-02    1.16e-01    9.5e-04
   9200      1.24e+00    1.96e+00      1.25e-01    1.25e-01      4.03e-02    6.36e-02    9.5e-04
   9300      3.61e+00    2.34e+00      3.49e-03    2.23e-03      1.17e-01    7.58e-02    9.5e-04
   9400      2.37e+00    2.73e+00      1.95e-02    2.09e-02      7.69e-02    8.85e-02    9.5e-04
   9500      8.72e-01    1.24e+00      4.72e-02    4.75e-02      2.83e-02    4.01e-02    9.5e-04
   9600      1.30e+00    2.86e+00      4.51e-02    4.46e-02      4.23e-02    9.29e-02    9.5e-04
   9700      2.63e+00    1.63e+00      1.25e-02    1.21e-02      8.54e-02    5.28e-02    9.5e-04
   9800      1.40e+00    2.78e+00      1.86e-02    1.91e-02      4.55e-02    9.03e-02    9.5e-04
   9900      2.65e+00    2.84e+00      2.90e-02    3.06e-02      8.59e-02    9.22e-02    9.5e-04
  10000      4.06e+00    3.06e+00      1.75e-01    1.77e-01      1.35e-01    1.02e-01    9.0e-04
  10100      2.41e+00    2.83e+00      1.18e-03    1.44e-03      8.03e-02    9.42e-02    9.0e-04
  10200      2.61e+00    2.86e+00      4.16e-02    4.37e-02      8.67e-02    9.51e-02    9.0e-04
  10300      2.09e+00    2.38e+00      4.32e-02    4.26e-02      6.95e-02    7.91e-02    9.0e-04
  10400      2.07e+00    2.36e+00      7.60e-02    7.64e-02      6.90e-02    7.86e-02    9.0e-04
  10500      2.10e+00    1.93e+00      5.02e-03    5.52e-03      6.98e-02    6.41e-02    9.0e-04
  10600      4.14e+00    3.18e+00      1.43e-01    1.47e-01      1.38e-01    1.06e-01    9.0e-04
  10700      2.05e+00    1.41e+00      9.44e-02    9.45e-02      6.81e-02    4.68e-02    9.0e-04
  10800      2.51e+00    2.08e+00      2.40e-03    3.23e-03      8.36e-02    6.91e-02    9.0e-04
  10900      3.48e+00    2.96e+00      6.52e-02    6.63e-02      1.16e-01    9.85e-02    9.0e-04
  11000      3.38e+00    4.05e+00      3.79e-02    3.82e-02      1.12e-01    1.35e-01    9.0e-04
  11100      1.18e+00    1.44e+00      6.17e-02    6.17e-02      3.91e-02    4.79e-02    9.0e-04
  11200      2.04e+00    1.73e+00      2.77e-02    2.71e-02      6.80e-02    5.74e-02    9.0e-04
  11300      2.93e+00    1.49e+00      7.13e-03    8.40e-03      9.77e-02    4.97e-02    9.0e-04
  11400      4.15e+00    4.40e+00      1.57e-01    1.57e-01      1.38e-01    1.46e-01    9.0e-04
  11500      2.41e+00    1.60e+00      6.90e-02    6.80e-02      8.02e-02    5.31e-02    9.0e-04
  11600      1.59e+00    1.57e+00      2.41e-02    2.43e-02      5.29e-02    5.22e-02    9.0e-04
  11700      1.93e+00    1.73e+00      3.07e-02    3.06e-02      6.43e-02    5.75e-02    9.0e-04
  11800      2.68e+00    3.14e+00      7.34e-02    7.09e-02      8.93e-02    1.05e-01    9.0e-04
  11900      1.55e+00    1.89e+00      3.81e-02    3.83e-02      5.17e-02    6.29e-02    9.0e-04
  12000      1.42e+00    2.43e+00      2.62e-02    2.66e-02      4.72e-02    8.08e-02    9.0e-04
  12100      1.35e+00    1.40e+00      2.96e-02    2.97e-02      4.50e-02    4.67e-02    9.0e-04
  12200      1.02e+00    1.34e+00      3.35e-02    3.32e-02      3.39e-02    4.45e-02    9.0e-04
  12300      1.35e+00    9.98e-01      8.20e-02    8.16e-02      4.49e-02    3.31e-02    9.0e-04
  12400      1.57e+00    1.28e+00      2.58e-02    2.59e-02      5.24e-02    4.26e-02    9.0e-04
  12500      1.84e+00    1.28e+00      2.26e-02    2.31e-02      6.12e-02    4.26e-02    9.0e-04
  12600      1.29e+00    1.14e+00      8.33e-02    8.31e-02      4.29e-02    3.77e-02    9.0e-04
  12700      2.53e+00    2.03e+00      8.81e-03    8.02e-03      8.42e-02    6.74e-02    9.0e-04
  12800      2.48e+00    2.19e+00      3.21e-02    3.21e-02      8.25e-02    7.29e-02    9.0e-04
  12900      1.81e+00    1.81e+00      4.43e-02    4.45e-02      6.03e-02    6.01e-02    9.0e-04
  13000      1.88e+00    8.74e-01      5.83e-02    5.71e-02      6.25e-02    2.90e-02    9.0e-04
  13100      1.80e+00    1.37e+00      3.91e-02    3.94e-02      5.99e-02    4.55e-02    9.0e-04
  13200      1.42e+00    1.08e+00      5.70e-03    5.19e-03      4.72e-02    3.59e-02    9.0e-04
  13300      2.21e+00    1.77e+00      6.21e-02    6.16e-02      7.35e-02    5.90e-02    9.0e-04
  13400      1.36e+00    1.14e+00      7.98e-02    7.97e-02      4.54e-02    3.79e-02    9.0e-04
  13500      1.88e+00    1.63e+00      3.24e-02    3.16e-02      6.27e-02    5.44e-02    9.0e-04
