#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  10100      5.56e+00    6.55e+00      1.01e-01    1.02e-01      1.85e-01    2.18e-01    9.0e-04
  10200      7.81e+00    7.87e+00      3.67e-01    3.71e-01      2.60e-01    2.62e-01    9.0e-04
  10300      3.94e+00    5.55e+00      4.71e-02    4.75e-02      1.31e-01    1.85e-01    9.0e-04
  10400      3.62e+00    2.95e+00      6.98e-03    8.95e-03      1.20e-01    9.82e-02    9.0e-04
  10500      3.86e+00    4.84e+00      2.98e-02    2.84e-02      1.29e-01    1.61e-01    9.0e-04
  10600      6.00e+00    5.44e+00      9.82e-02    9.75e-02      2.00e-01    1.81e-01    9.0e-04
  10700      4.47e+00    6.36e+00      2.61e-01    2.67e-01      1.48e-01    2.12e-01    9.0e-04
  10800      5.52e+00    6.14e+00      1.28e-02    1.74e-02      1.84e-01    2.04e-01    9.0e-04
  10900      5.49e+00    3.94e+00      3.28e-01    3.22e-01      1.82e-01    1.31e-01    9.0e-04
  11000      5.13e+00    5.66e+00      9.56e-02    1.01e-01      1.71e-01    1.88e-01    9.0e-04
  11100      3.17e+00    2.16e+00      1.04e-01    1.02e-01      1.05e-01    7.18e-02    9.0e-04
  11200      6.01e+00    6.30e+00      1.40e-01    1.41e-01      2.00e-01    2.10e-01    9.0e-04
  11300      4.75e+00    5.08e+00      3.05e-02    2.88e-02      1.58e-01    1.69e-01    9.0e-04
  11400      4.56e+00    5.39e+00      4.25e-02    3.94e-02      1.52e-01    1.80e-01    9.0e-04
  11500      4.96e+00    6.22e+00      1.21e-01    1.25e-01      1.65e-01    2.07e-01    9.0e-04
  11600      5.83e+00    7.05e+00      2.27e-02    2.44e-02      1.94e-01    2.35e-01    9.0e-04
  11700      3.78e+00    4.08e+00      1.44e-01    1.42e-01      1.26e-01    1.36e-01    9.0e-04
  11800      3.44e+00    2.97e+00      8.68e-02    8.72e-02      1.14e-01    9.89e-02    9.0e-04
  11900      4.54e+00    3.71e+00      1.30e-01    1.28e-01      1.51e-01    1.24e-01    9.0e-04
  12000      3.93e+00    4.16e+00      3.86e-02    4.22e-02      1.31e-01    1.38e-01    9.0e-04
  12100      3.38e+00    2.16e+00      1.34e-01    1.34e-01      1.12e-01    7.18e-02    9.0e-04
  12200      3.72e+00    6.44e+00      1.71e-01    1.71e-01      1.24e-01    2.14e-01    9.0e-04
  12300      3.99e+00    3.88e+00      1.14e-01    1.13e-01      1.33e-01    1.29e-01    9.0e-04
